id,device_id,product_name,product_sku,category_name,amount,status,card_number,cvv,created_at,happened_at
1.0,169.0,libero. Morbi,3770009015048.0,"amet,",749.0,cancelled,201433236787273.0,714.0,2022-10-16 03:52:35,2022-05-15 08:10:46
2.0,9.0,"hendrerit a,",3770009015049.0,magna,235.0,refused,3477 282862 44521,146.0,2023-02-22 09:02:54,2022-08-15 09:06:29
3.0,25.0,neque vitae,3770009015074.0,"montes,",304.0,accepted,4556596815473496,562.0,2023-02-27 06:21:32,2022-01-26 06:50:55
4.0,89.0,Sed eu,3770009015042.0,erat,141.0,accepted,3628 676867 82399,891.0,2023-01-01 03:10:04,2022-10-09 07:59:34
5.0,40.0,dolor. Nulla,3770009015049.0,Etiam,549.0,cancelled,4903871164699481227,345.0,2022-10-09 03:20:39,2021-10-23 10:12:44
6.0,44.0,vel pede,3770009015050.0,dictum,873.0,refused,417500 6777547247,620.0,2022-12-22 09:37:12,2022-10-21 08:27:40
7.0,59.0,et netus,3770009015073.0,ac,638.0,accepted,4917 5692 1425 2575,574.0,2022-12-13 01:09:03,2021-10-07 05:02:09
8.0,4.0,consequat dolor,3770009015075.0,vel,710.0,accepted,201488866595370.0,659.0,2023-01-24 06:45:50,2022-11-27 01:46:14
9.0,111.0,posuere cubilia,3770009015047.0,massa.,262.0,accepted,6761 5556 6164 5640,912.0,2022-11-17 01:53:23,2021-12-09 06:00:36
10.0,159.0,Donec fringilla.,3770009015172.0,Morbi,613.0,accepted,4917888266638667,557.0,2022-12-25 11:28:15,2023-02-10 03:26:15
11.0,29.0,"malesuada vel,",3770009015172.0,Duis,386.0,refused,490548 536296 8884,720.0,2022-11-21 07:59:22,2022-09-26 05:56:42
12.0,142.0,augue. Sed,3770009015046.0,rutrum,518.0,refused,490 52527 86635 345,391.0,2022-10-06 11:05:38,2023-01-15 06:45:43
